Pclass,Fare,Cabin,Embarked
3,7.925,,S
3,8.05,,S
3,8.4583,,Q
1,51.8625,E46,S
1,26.55,C103,S
3,8.05,,S
3,7.8542,,S
2,16.0,,S
2,13.0,,S
3,7.225,,C
2,26.0,,S
2,13.0,D56,S
3,8.0292,,Q
1,35.5,A6,S
3,7.225,,C
3,7.8792,,Q
3,7.8958,,S
1,27.7208,,C
3,7.75,,Q
2,10.5,,S
3,7.2292,,C
3,8.05,,S
3,7.8958,,C
3,7.8792,,Q
3,8.05,,S
3,7.75,,Q
3,7.8,,S
1,35.5,C52,S
2,10.5,,S
3,7.2292,,C
3,7.2292,,C
1,80.0,B28,
1,27.7208,,C
2,10.5,F33,S
3,8.1583,,S
2,10.5,,S
2,73.5,,S
3,56.4958,,S
3,7.65,F G73,S
3,7.8958,,S
3,8.05,,S
3,12.475,,S
3,9.0,,S
3,9.5,,S
3,7.7875,,Q
1,47.1,,S
2,10.5,,S
3,8.05,,S
3,8.05,,S
3,8.05,,S
3,7.8542,,S
3,7.25,,S
3,8.05,,S
1,34.6542,A5,C
3,7.8958,,S
3,7.8958,,S
3,8.6542,,S
3,7.8958,,S
3,7.65,,S
3,7.775,,S
3,7.8958,,S
1,52.0,C110,S
3,8.05,,S
3,14.4583,,C
3,7.925,,S
3,7.75,,Q
3,8.05,,S
2,13.0,E101,S
3,7.75,,Q
3,7.1417,,S
3,6.975,,S
3,7.8958,,C
3,7.05,,S
2,13.0,,S
2,15.0458,,C
3,9.2167,,S
1,79.2,B86,C
3,7.75,,S
3,6.75,,Q
2,11.5,,S
3,7.7958,,S
2,13.0,,S
2,12.525,,S
3,8.05,,S
3,7.3125,,S
3,7.7333,,Q
3,8.05,,S
3,8.6625,,S
2,15.75,,S
3,7.775,,S
3,8.6625,,S
1,25.925,,S
3,56.4958,,S
1,33.5,B19,S
3,7.925,,S
1,30.6958,A7,C
1,28.7125,C49,C
2,13.0,,S
3,0.0,,S
2,15.05,,C
1,50.0,A32,S
1,26.55,,S
3,7.8958,,S
2,13.0,,S
2,13.0,,S
1,27.7208,B4,C
1,146.5208,B80,C
3,7.75,,Q
3,7.75,,Q
2,13.0,,S
3,9.5,,S
3,6.4958,,S
3,7.225,,C
3,8.05,,S
3,18.7875,,C
3,7.75,,Q
1,31.0,A31,C
3,7.05,,S
2,21.0,,S
3,7.25,,S
2,13.0,,S
3,7.925,,S
1,76.2917,D15,C
2,10.5,,S
3,8.05,,S
2,13.0,,S
3,8.05,,S
3,7.8958,,S
3,9.35,,S
2,10.5,,S
3,7.25,,S
2,13.0,,S
3,7.775,,S
2,13.5,,S
2,10.5,,S
3,7.55,,S
2,10.5,,S
2,12.275,,S
2,10.5,,S
3,7.125,,S
3,7.225,,C
3,7.775,,S
3,7.25,,S
1,26.55,C87,S
1,79.2,,C
1,86.5,B77,S
1,512.3292,,C
3,7.75,,Q
1,0.0,B94,S
3,7.75,,Q
2,10.5,,S
1,135.6333,C99,S
1,31.0,,S
3,0.0,,S
3,7.75,,Q
3,7.75,,S
2,0.0,,S
3,7.75,,Q
3,7.8542,,S
3,9.5,,S
3,8.05,,S
1,26.0,A19,S
3,8.6625,,C
3,9.5,,S
3,7.8958,,S
2,13.0,,S
3,7.75,,Q
1,78.85,,S
2,12.875,D,C
3,8.85,,S
3,7.8958,,S
1,27.7208,,C
3,7.2292,,C
1,30.5,C106,S
3,7.75,,Q
3,0.0,,S
2,12.35,E101,Q
3,8.05,,S
1,110.8833,,C
1,56.9292,E36,C
1,83.1583,C54,C
3,7.8958,,S
3,7.8542,,S
2,14.0,,S
3,7.25,,S
3,7.8958,,S
2,12.35,,Q
1,135.6333,C32,C
3,6.2375,,S
2,13.0,D,S
1,28.5,C124,S
3,7.8958,,S
1,134.5,E40,C
3,8.05,,S
1,35.5,T,S
2,13.0,,S
2,13.0,,S
2,13.0,,S
2,13.0,F33,S
2,13.0,,S
3,8.6625,,S
3,9.225,,S
1,35.0,C128,S
3,7.225,,C
3,9.5,,S
2,13.0,,S
3,7.8792,,Q
3,7.8792,,Q
3,7.05,,S
3,7.25,,S
3,7.2292,,C
3,7.75,,Q
1,69.3,B35,C
3,8.05,,S
1,135.6333,,C
3,7.25,,S
3,4.0125,,C
3,7.775,,S
1,227.525,,C
3,7.925,,S
3,7.8958,,S
2,73.5,,S
2,13.0,,S
3,7.7292,,Q
2,12.0,,C
3,7.7958,,S
3,7.7958,,S
3,7.8542,,S
2,26.0,,S
2,10.5,,S
2,12.65,,S
3,7.925,,S
3,8.05,,S
3,8.6625,,S
3,7.75,,S
3,7.775,,S
3,7.8958,,S
3,6.8583,,Q
2,0.0,,S
3,7.925,,S
3,8.05,,S
2,13.0,,S
3,7.8958,,C
3,7.7333,,Q
3,7.875,,S
3,7.25,,S
2,26.0,,S
3,7.75,,Q
3,8.05,E10,S
1,26.55,C52,S
3,7.125,,S
2,10.5,,S
3,9.5,,S
2,13.0,,S
3,8.1125,,S
1,26.55,,S
1,30.5,C104,S
1,27.75,C111,C
3,8.05,,S
3,7.8958,,C
1,26.55,E38,S
2,10.5,,S
3,7.75,,Q
1,26.55,E12,S
3,8.05,,S
1,38.5,E63,S
2,13.0,,S
3,8.05,,S
3,7.05,,S
2,0.0,,S
1,26.55,,S
3,7.725,,Q
3,7.25,,S
3,8.6625,,S
2,13.7917,D,C
3,9.8375,,S
1,52.0,A14,S
3,7.5208,,S
2,0.0,,S
3,8.05,,S
3,9.5875,,S
1,29.7,B37,C
3,8.05,,S
3,7.25,,S
1,30.5,C30,S
1,49.5042,,C
3,8.05,,S
3,14.4583,,C
3,15.1,,S
3,7.7958,,S
3,8.6625,,S
3,7.75,,Q
3,7.6292,,Q
3,9.5875,,S
1,86.5,B79,S
1,26.55,,S
3,22.525,,S
3,56.4958,,S
3,7.75,,Q
3,8.05,,S
1,26.2875,E25,S
3,7.4958,,S
1,34.0208,D46,S
2,10.5,F33,S
3,24.15,,Q
3,7.8958,,S
1,93.5,B73,S
3,7.8958,,S
3,7.225,,C
3,7.2292,,C
3,7.75,,Q
2,10.5,,S
1,221.7792,C95,S
3,7.925,,S
3,7.2292,,C
3,8.6625,,S
1,26.55,B38,S
1,106.425,,C
3,14.5,,S
1,26.0,,S
2,13.8625,,C
2,26.0,,S
3,7.8292,,Q
3,7.225,,C
3,7.775,,S
1,26.55,,S
1,227.525,,C
3,7.75,,Q
3,7.8958,,S
2,13.5,,S
3,8.05,,S
3,8.05,,S
3,7.8958,,S
3,7.2292,,C
3,7.8542,,S
2,10.5,,S
1,26.3875,E25,S
3,7.75,,Q
3,8.05,,S
3,14.5,,S
2,13.0,,S
3,7.925,,S
2,26.0,,S
1,40.125,A10,C
3,8.7125,,C
2,15.0,,S
3,8.05,,S
3,8.05,,S
3,7.125,,S
3,7.25,,S
2,33.0,,S
3,0.0,,S
3,7.225,,C
3,7.8958,,S
1,42.4,,S
3,8.05,,S
1,26.55,,C
3,7.8958,,S
1,30.5,,S
1,153.4625,C125,S
3,7.05,,S
3,7.75,,Q
3,8.05,,S
2,10.5,,S
3,7.8542,,S
3,16.1,,S
1,32.3208,D50,S
2,12.35,,Q
1,77.9583,D9,S
3,7.8958,,S
3,7.7333,,Q
1,30.0,A23,S
3,7.0542,,S
1,30.5,B50,C
1,0.0,,S
2,13.0,,S
3,7.925,,S
3,7.8542,,S
1,69.3,B35,C
3,56.4958,,S
3,7.8958,,S
1,35.5,A26,C
3,7.55,,S
3,7.55,,S
3,7.8958,,S
3,8.4333,,S
3,7.8292,,Q
3,6.75,,Q
3,7.8958,,S
2,13.0,,S
3,7.225,,C
1,25.5875,E58,S
3,7.4958,,S
2,13.0,,S
3,7.775,,S
3,8.05,,S
2,10.5,,S
2,13.0,,S
2,0.0,,S
3,7.775,,S
3,8.05,,S
3,9.8417,,S
3,8.1375,,Q
1,76.7292,D49,C
3,9.225,,S
3,10.1708,,S
3,7.7958,,S
3,56.4958,,S
3,7.225,,C
1,26.55,,S
2,13.5,,S
3,8.05,,S
3,7.7333,,Q
3,7.65,F G63,S
1,26.2875,E24,S
3,7.7417,,Q
2,26.0,,S
2,13.5,,S
1,26.2875,E24,S
1,151.55,,S
1,49.5042,C90,C
1,26.55,C124,S
3,9.4833,,S
2,13.0,,S
3,7.65,F G73,S
1,227.525,C45,C
2,10.5,E101,S
3,15.5,,Q
3,7.775,,S
2,13.0,,S
2,13.0,,S
3,8.6625,,S
3,7.7375,,Q
1,211.3375,B5,S
3,18.7875,,C
2,0.0,,S
2,13.0,,S
2,13.0,,S
3,16.1,,S
1,512.3292,B101,C
3,7.8958,,S
3,7.8958,,S
1,30.0,D45,S
3,7.925,,S
2,13.0,,S
3,7.75,,Q
3,9.5,,S
3,7.8958,,S
3,7.7958,,S
2,11.5,,S
3,8.05,,S
1,86.5,B77,S
3,14.5,,S
3,7.125,,S
3,7.2292,,C
3,7.775,,S
1,39.6,,C
3,7.75,,Q
3,8.3625,,S
3,9.5,,S
3,7.8542,,S
2,10.5,E77,S
3,7.225,,C
3,7.75,,S
3,7.75,F38,Q
3,12.475,,S
3,7.7375,,Q
3,7.2292,,C
1,30.0,D6,S
3,7.05,,S
3,7.25,,S
3,7.4958,,S
1,79.2,B82 B84,C
3,7.75,,Q
2,26.0,,S
1,30.6958,,C
3,7.8958,,S
2,13.0,,S
1,25.9292,D17,S
3,8.6833,,S
3,7.2292,,C
2,13.0,,S
3,6.975,,S
3,7.775,,S
1,0.0,A36,S
3,7.775,,S
2,13.0,,S
3,7.8875,,S
3,24.15,,S
2,10.5,,S
3,8.05,,S
1,0.0,B102,S
3,7.925,,S
3,6.45,,S
3,8.6625,,S
1,0.0,,S
3,6.95,,Q
3,56.4958,,S
3,7.75,,Q
1,80.0,B28,
3,7.2292,,C
3,7.8542,,S
3,8.3,,S
3,8.6625,,S
3,8.05,,S
3,56.4958,,S
1,29.7,C47,C
3,7.925,,S
2,10.5,,S
1,31.0,,C
3,6.4375,,C
3,8.6625,,S
3,7.55,,S
3,7.8958,,C
3,7.775,,S
1,26.55,E17,S
3,7.2292,,C
1,25.9292,D17,S
2,13.0,,S
2,13.0,,S
1,50.4958,A24,S
3,9.5,,S
3,7.8958,,S
1,5.0,B51 B53 B55,S
3,9.0,,S
3,7.225,,C
3,9.8458,,S
3,7.8958,,S
3,7.8958,,S
3,7.8958,,S
3,10.5167,,S
2,10.5,,S
3,7.05,,S
2,13.0,,S
1,30.0,B42,S
1,30.0,C148,C
3,7.75,,Q
